EXPERIMENT: Exp1-4KNN (nodeList: input/real_input/dblp_yoj_2000_nodelist.txt, edgelist: input/real_input/dblp_yoj_2000_edgelist.txt)
alpha1,alpha2,mean,std,vectorFile
0.1,0.1,-35.12458330722948,2.3365304290564435,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.1_0.1_.txt
0.6,0.05,-34.92074988389678,2.3803568169573084,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.6_0.05_.txt
0.95,0.9,-34.663467040326836,2.4773107873931908,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.95_0.9_.txt
0.1,0.05,-35.135004557517746,2.337537037322226,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.1_0.05_.txt
0.8,0.7,-34.522021165608685,2.4329395097495747,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.8_0.7_.txt
0.1,0.2,-35.08197213553878,2.3347659085034307,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.1_0.2_.txt
0.9,0.5,-34.980482129164194,2.366180920271717,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.9_0.5_.txt
0.5,0.3,-34.6277285786447,2.394718363415783,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.5_0.3_.txt
0.95,0.4,-35.0102713142831,2.326993303651298,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.95_0.4_.txt
0.8,0.6,-34.646901705541474,2.412069999055999,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.8_0.6_.txt
0.05,0.2,-35.11925600948296,2.3331970470940093,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.05_0.2_.txt
0.05,0.5,-34.82007065921037,2.3330535147652984,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.05_0.5_.txt
