EXPERIMENT: Exp1-4KNN (nodeList: input/real_input/dblp_yoj_2000_nodelist.txt, edgelist: input/real_input/dblp_yoj_2000_edgelist.txt)
alpha1,alpha2,accuracy,vectorFile
0.1,0.1,0.4030748663101605,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.1_0.1_.txt
0.6,0.05,0.456283422459893,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.6_0.05_.txt
0.95,0.9,0.4802139037433156,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.95_0.9_.txt
0.1,0.05,0.5157754010695187,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.1_0.05_.txt
0.8,0.7,0.452139037433155,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.8_0.7_.txt
0.1,0.2,0.40013368983957215,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.1_0.2_.txt
0.9,0.5,0.4237967914438503,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.9_0.5_.txt
0.5,0.3,0.4590909090909091,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.5_0.3_.txt
0.95,0.4,0.4637700534759358,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.95_0.4_.txt
0.8,0.6,0.4350267379679146,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.8_0.6_.txt
0.05,0.2,0.36831550802139035,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.05_0.2_.txt
0.05,0.5,0.36604278074866314,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.05_0.5_.txt
0.9,0.95,0.4717914438502674,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.9_0.95_.txt
0.05,0.95,0.4584224598930481,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.05_0.95_.txt
0.3,0.4,0.45347593582887696,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.3_0.4_.txt
0.7,0.3,0.41791443850267374,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.7_0.3_.txt
0.9,0.8,0.4656417112299465,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.9_0.8_.txt
0.3,0.3,0.46590909090909094,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.3_0.3_.txt
0.1,0.8,0.418716577540107,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.1_0.8_.txt
0.6,0.1,0.44665775401069513,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.6_0.1_.txt
0.6,0.95,0.46978609625668455,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.6_0.95_.txt
0.3,0.7,0.45922459893048123,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.3_0.7_.txt
0.6,0.7,0.4497326203208557,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.6_0.7_.txt
0.5,0.9,0.46697860962566845,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.5_0.9_.txt
0.7,0.05,0.42847593582887694,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.7_0.05_.txt
0.6,0.2,0.4520053475935829,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.6_0.2_.txt
0.5,0.1,0.4834224598930481,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.5_0.1_.txt
0.4,0.5,0.4970588235294118,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.4_0.5_.txt
0.8,0.9,0.4737967914438503,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.8_0.9_.txt
0.4,0.6,0.4770053475935828,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.4_0.6_.txt
0.2,0.1,0.5413101604278074,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.2_0.1_.txt
0.4,0.4,0.48008021390374334,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.4_0.4_.txt
0.1,0.9,0.3870320855614974,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.1_0.9_.txt
0.3,0.1,0.536096256684492,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.3_0.1_.txt
0.2,0.4,0.44893048128342244,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.2_0.4_.txt
0.1,0.4,0.4560160427807487,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.1_0.4_.txt
0.4,0.95,0.471524064171123,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.4_0.95_.txt
0.3,0.6,0.4586898395721925,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.3_0.6_.txt
0.05,0.6,0.37406417112299467,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.05_0.6_.txt
0.6,0.5,0.4466577540106952,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.6_0.5_.txt
0.6,0.4,0.48422459893048125,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.6_0.4_.txt
0.95,0.1,0.46831550802139044,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.95_0.1_.txt
0.3,0.5,0.48235294117647054,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.3_0.5_.txt
0.05,0.3,0.41189839572192516,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.05_0.3_.txt
0.8,0.05,0.46965240641711226,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.8_0.05_.txt
0.9,0.7,0.4447860962566844,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.9_0.7_.txt
0.7,0.9,0.44933155080213905,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.7_0.9_.txt
0.9,0.4,0.45828877005347596,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.9_0.4_.txt
0.4,0.3,0.49839572192513365,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.4_0.3_.txt
0.05,0.8,0.3267379679144385,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.05_0.8_.txt
0.3,0.8,0.4764705882352942,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.3_0.8_.txt
0.2,0.9,0.42606951871657756,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.2_0.9_.txt
0.9,0.3,0.45080213903743316,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.9_0.3_.txt
0.5,0.95,0.4629679144385027,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.5_0.95_.txt
0.2,0.7,0.4160427807486632,/home/dataquacs/zachbroadman/results/Exp1-4/vectors/vectorsExp1-4_0.2_0.7_.txt
