EXPERIMENT: SVRfullPL1000 (nodeList: input/real_input/dblp_yoj_2000_nodelist.txt, edgelist: input/real_input/dblp_yoj_2000_edgelist.txt)
alpha1,alpha2,mean,std,vectorFile
0.7,0.2,-34.895627017043395,2.35894266858724,output_files/SVRfullPL1000_v0/vectors/vectorsSVRfullPL1000_0.7_0.2_.txt
0.2,0.6,-34.24251916696696,2.374242656531757,output_files/SVRfullPL1000_v0/vectors/vectorsSVRfullPL1000_0.2_0.6_.txt
0.6,0.5,-34.49221047986489,2.357779132046163,output_files/SVRfullPL1000_v0/vectors/vectorsSVRfullPL1000_0.6_0.5_.txt
0.5,0.1,-34.86891831749178,2.3815222733366017,output_files/SVRfullPL1000_v0/vectors/vectorsSVRfullPL1000_0.5_0.1_.txt
0.7,0.7,-34.35804110692731,2.382965860659206,output_files/SVRfullPL1000_v0/vectors/vectorsSVRfullPL1000_0.7_0.7_.txt
0.7,0.8,-34.27255075936432,2.3832599422768,output_files/SVRfullPL1000_v0/vectors/vectorsSVRfullPL1000_0.7_0.8_.txt
0.5,0.7,-34.0701610093708,2.2979686343677623,output_files/SVRfullPL1000_v0/vectors/vectorsSVRfullPL1000_0.5_0.7_.txt
0.2,0.1,-35.02498631401674,2.3425967090117505,output_files/SVRfullPL1000_v0/vectors/vectorsSVRfullPL1000_0.2_0.1_.txt
0.9,0.2,-34.90603499405256,2.3673465086726853,output_files/SVRfullPL1000_v0/vectors/vectorsSVRfullPL1000_0.9_0.2_.txt
0.95,0.3,-34.98682782467829,2.320991465230288,output_files/SVRfullPL1000_v0/vectors/vectorsSVRfullPL1000_0.95_0.3_.txt
0.8,0.1,-34.85051926452117,2.3259304474504097,output_files/SVRfullPL1000_v0/vectors/vectorsSVRfullPL1000_0.8_0.1_.txt
0.5,0.95,-33.92684209718125,2.3255392849983485,output_files/SVRfullPL1000_v0/vectors/vectorsSVRfullPL1000_0.5_0.95_.txt
0.5,0.3,-34.62828835893268,2.393950836571229,output_files/SVRfullPL1000_v0/vectors/vectorsSVRfullPL1000_0.5_0.3_.txt
0.2,0.2,-34.94023109636241,2.346446541833462,output_files/SVRfullPL1000_v0/vectors/vectorsSVRfullPL1000_0.2_0.2_.txt
0.9,0.1,-34.90766696021386,2.361063578018333,output_files/SVRfullPL1000_v0/vectors/vectorsSVRfullPL1000_0.9_0.1_.txt
0.3,0.1,-34.80712714499923,2.365325859035907,output_files/SVRfullPL1000_v0/vectors/vectorsSVRfullPL1000_0.3_0.1_.txt
0.4,0.6,-33.757811877918,2.3333889298942094,output_files/SVRfullPL1000_v0/vectors/vectorsSVRfullPL1000_0.4_0.6_.txt
0.9,0.9,-34.60429963870905,2.4464804053376885,output_files/SVRfullPL1000_v0/vectors/vectorsSVRfullPL1000_0.9_0.9_.txt
0.9,0.5,-34.980553412029835,2.3644051845230627,output_files/SVRfullPL1000_v0/vectors/vectorsSVRfullPL1000_0.9_0.5_.txt
0.6,0.4,-34.62645843464785,2.3683781750238238,output_files/SVRfullPL1000_v0/vectors/vectorsSVRfullPL1000_0.6_0.4_.txt
0.3,0.6,-33.717451488382565,2.41775349227288,output_files/SVRfullPL1000_v0/vectors/vectorsSVRfullPL1000_0.3_0.6_.txt
0.1,0.1,-35.12430589505613,2.3367513998235254,output_files/SVRfullPL1000_v0/vectors/vectorsSVRfullPL1000_0.1_0.1_.txt
0.95,0.1,-34.99376671102367,2.322597756658299,output_files/SVRfullPL1000_v0/vectors/vectorsSVRfullPL1000_0.95_0.1_.txt
